Date	AAPL	SPY	TSLA	ZM	DT	BUD
2024-01-31	182.67483520507812	471.2306213378906	187.2899932861328	64.61000061035156	57.0	59.803592681884766
2024-02-29	179.2874755859375	495.82269287109375	201.8800048828125	70.7300033569336	49.54999923706055	58.476558685302734
2024-03-31	170.0924530029297	512.0370483398438	175.7899932861328	65.37000274658203	46.439998626708984	58.87369918823242
2024-04-30	168.9517822265625	491.3919372558594	183.27999877929688	61.099998474121094	45.310001373291016	57.78882598876953
2024-05-31	190.9530487060547	516.2464599609375	178.0800018310547	61.34000015258789	45.72999954223633	61.9945182800293
2024-06-30	209.19911193847656	534.4595947265625	197.8800048828125	59.189998626708984	44.7400016784668	57.158416748046875
2024-07-31	220.5818328857422	540.9315185546875	232.07000732421875	60.400001525878906	43.91999816894531	58.48539733886719
2024-08-31	227.71841430664062	553.5706176757812	214.11000061035156	69.08000183105469	50.619998931884766	60.39231491088867
2024-09-30	231.69602966308594	565.1981201171875	261.6300048828125	69.73999786376953	53.470001220703125	65.15961456298828
2024-10-31	224.64569091796875	560.1546020507812	249.85000610351562	74.73999786376953	53.79999923706055	58.35761260986328
2024-11-30	236.26145935058594	593.55859375	345.1600036621094	82.69000244140625	56.189998626708984	52.882591247558594
2024-12-31	249.2925262451172	579.2774658203125	403.8399963378906	81.61000061035156	54.349998474121094	49.2161979675293
2025-01-31	234.93743896484375	594.8347778320312	404.6000061035156	86.94000244140625	57.75	48.341373443603516
2025-02-28	241.01583862304688	587.2833862304688	292.9800109863281	73.69999694824219	57.25	58.81959915161133
2025-03-31	221.37301635742188	554.5604248046875	259.1600036621094	73.7699966430664	47.150001525878906	60.51026916503906
2025-04-30	211.7758331298828	549.7523193359375	282.1600036621094	77.54000091552734	46.970001220703125	64.68779754638672
2025-05-31	200.4280242919922	584.301513671875	346.4599914550781	81.25	54.0099983215332	70.48999786376953
2025-06-30	204.7389373779297	614.3264770507812	317.6600036621094	77.9800033569336	55.209999084472656	68.72000122070312
2025-07-31	207.1339111328125	628.475341796875	308.2699890136719	74.05000305175781	52.61000061035156	57.66999816894531
2025-08-31	231.91517639160156	641.3713989257812	333.8699951171875	81.41999816894531	50.599998474121094	62.66999816894531
2025-09-30	254.38340759277344	664.21728515625	444.7200012207031	82.5	48.45000076293945	59.61000061035156
2025-10-31	270.108154296875	680.050537109375	456.55999755859375	87.2300033569336	50.56999969482422	60.900001525878906
2025-11-30	278.8500061035156	681.3765869140625	430.1700134277344	84.95999908447266	44.560001373291016	61.529998779296875
2025-12-31	271.8599853515625	681.9199829101562	449.7200012207031	86.29000091552734	43.34000015258789	64.04000091552734
2026-01-31	248.0399932861328	689.22998046875	449.05999755859375	85.77999877929688	40.790000915527344	69.87999725341797
