	AAPL	SPY	TSLA	ZM	DT	BUD
AAPL	0.0038165087426962514	0.0005723048466144519	0.0026623205639385037	0.0002317803395427144	0.0005509624848724613	-0.00046054895886087305
SPY	0.0005723048466144519	0.0009417713804947992	0.0016761187514278974	0.0006563192928917724	0.0010027612719402587	-0.00028450002006798897
TSLA	0.0026623205639385037	0.0016761187514278974	0.02284371305095826	0.004466662708483384	0.002664078376887455	-0.003739382346423177
ZM	0.0002317803395427144	0.0006563192928917724	0.004466662708483384	0.00452677331185041	0.0017832701860407035	-0.0008884049169165387
DT	0.0005509624848724613	0.0010027612719402587	0.002664078376887455	0.0017832701860407035	0.005779108176022273	0.0008007156807866695
BUD	-0.00046054895886087305	-0.00028450002006798897	-0.003739382346423177	-0.0008884049169165387	0.0008007156807866695	0.006533199876291069
