Date	AAPL	SPY	TSLA	ZM	DT	BUD
2024-02-29	-0.01854302832403243	0.052186776918271116	0.07790064669600238	0.09472222084457793	-0.13070176777086762	-0.022189808455005067
2024-03-31	-0.05128638960511955	0.03270204598747917	-0.12923524353897475	-0.07578114457739704	-0.06276489723990675	0.006791447921327576
2024-04-30	-0.006706359814769303	-0.04031967945514814	0.042607689739043275	-0.06532054601579773	-0.02433241358383842	-0.018427128147567307
2024-05-31	0.13022235512498037	0.05057958576521049	-0.02837187354253501	0.003928014475621522	0.009269436244000895	0.07277691178701362
2024-06-30	0.09555268772524239	0.03528016665523781	0.11118599982126098	-0.03505056277356722	-0.02164876172489716	-0.07800853472459846
2024-07-31	0.054410716206876986	0.01210905711426813	0.17278149180183244	0.020442691793270518	-0.01832819577018807	0.023215838826845303
2024-08-31	0.03235351288906729	0.023365889545078122	-0.07739046902676983	0.14370861069360674	0.15255011480571623	0.03260502037752633
2024-09-30	0.01746732088990477	0.02100432616150716	0.22194201175563166	0.009554082443844703	0.05630190337722807	0.07893884609546675
2024-10-31	-0.03042925807168817	-0.008923451594921361	-0.045025412068364634	0.07169486884365872	0.006171647817910353	-0.10438984329088785
2024-11-30	0.051706921591011756	0.05963352184722481	0.3814688622385134	0.1063688092703372	0.04442378110671186	-0.0938184603079415
2024-12-31	0.05515528335409714	-0.024060285058999265	0.17000808915631316	-0.013060851362532877	-0.03274604373656764	-0.06933081744927849
2025-01-31	-0.057583307350378865	0.026856516270723496	0.0018819576379678349	0.06531064564627176	0.0625575275314465	-0.017775134204859766
2025-02-28	0.025872484771082283	-0.012694837033450312	-0.2758773935575025	-0.15228899380451766	-0.008658008658008698	0.21675482017969605
2025-03-31	-0.08150013035594195	-0.05571919586383445	-0.11543452131892018	0.000949792370729341	-0.17641918732089246	0.02874331069597935
2025-04-30	-0.04335299480241872	-0.008670119115083419	0.08874826236685496	0.05110484538452642	-0.003817609742323924	0.06903833744242038
2025-05-31	-0.05358405947543121	0.06284478885258071	0.2278848417863253	0.047846260519320394	0.1498828383620956	0.08969543774035804
2025-06-30	0.021508534553317693	0.05138629266404782	-0.08312644606383923	-0.04024611253004806	0.02221812257418687	-0.025109897811135373
2025-07-31	0.01169769554123401	0.023031505020404186	-0.02955995259140498	-0.05039753957418036	-0.04709289109284409	-0.160797480434689
2025-08-31	0.11963886127221102	0.020519492148202145	0.08304410748975077	0.09952727634644631	-0.038205704484158054	0.08670019349319924
2025-09-30	0.09688124576734491	0.03562036952182912	0.33201547825406585	0.013264576950906992	-0.04249007462482901	-0.048827152513147176
2025-10-31	0.061815142948609125	0.023837458474752493	0.026623485126352042	0.05733337402343741	0.04375642721364836	0.021640679455106948
2025-11-30	0.032364264712395396	0.0019499283249213573	-0.05780178787448975	-0.02602320514848977	-0.11884513264389673	0.0103447822271443
2025-12-31	-0.025067314322949175	0.000797497311368911	0.045447119005781245	0.01565444733270671	-0.027378841631597983	0.04079314458031513
