index	return	risk	AAPL	SPY	TSLA	ZM	DT	BUD
0	0.015152085960626874	0.02695071366544791	0.09926192089537214	0.6668797043699812	-5.947851200031007e-20	0.08212771338569698	1.425611402747563e-20	0.1517306613489496
1	0.015496963770688188	0.02707277627290249	0.11681467250040198	0.6836591010775092	0.0003960075048734605	0.07324765533916905	-2.194754705145363e-20	0.12588256357804636
2	0.015841841580749493	0.02734177955426753	0.11750815828336905	0.6855396424924228	0.009469477902717805	0.06427704785705286	-2.2077343488819534e-20	0.12320567346443743
3	0.016186719390810803	0.027674956589539546	0.11820164406633633	0.6874201839073364	0.01854294830056224	0.055306440374936615	-2.2209573083510648e-20	0.12052878335082841
4	0.01653159720087211	0.028070022341260083	0.1188951298493035	0.68930072532225	0.027616418698406576	0.046335832892820485	-2.234212860407197e-20	0.11785189323721947
5	0.016876475010933416	0.028524405431349268	0.11958861563227062	0.6911812667371636	0.03668988909625097	0.037365225410704236	-2.247297033169378e-20	0.11517500312361051
6	0.017221352820994726	0.029035321164959434	0.12028210141523786	0.6930618081520772	0.04576335949409535	0.02839461792858806	-2.2606664551376722e-20	0.11249811301000152
7	0.01756623063105603	0.02959984229788903	0.12097558719820513	0.6949423495669906	0.05483682989193975	0.019424010446471917	-2.2736672520191988e-20	0.10982122289639258
8	0.017911108441117343	0.0302149643708985	0.1216690729811723	0.6968228909819043	0.06391030028978412	0.010453402964355712	-2.2870407846923662e-20	0.1071443327827836
9	0.01825598625117865	0.030877663428061343	0.12236255876413947	0.6987034323968178	0.07298377068762858	0.001482795482239526	-2.3004351731099084e-20	0.10446744266917467
10	0.01860086406123996	0.03158898986140393	0.12415422455429621	0.6930045534004227	0.08205107792259478	-4.0897181373911164e-20	-5.634322608109902e-20	0.1007901441226864
11	0.018945741871301262	0.03235296874521968	0.126163360595231	0.6858047379029328	0.09111716467952695	-4.033535034753507e-20	-5.556316913583589e-20	0.09691473682230912
12	0.019290619681362572	0.03316611279788081	0.1281724966361657	0.6786049224054435	0.10018325143645908	-3.9775060786478476e-20	-5.478534052344264e-20	0.09303932952193188
13	0.019635497491423886	0.03402489728039828	0.13018163267710034	0.6714051069079537	0.10924933819339126	-3.9213993693890465e-20	-5.400769855531769e-20	0.08916392222155471
14	0.019980375301485193	0.03492595563601467	0.13219076871803517	0.6642052914104639	0.11831542495032343	-3.865424818244216e-20	-5.3234761318822996e-20	0.08528851492117742
15	0.0203252531115465	0.0358661018869264	0.13419990475896978	0.6570054759129744	0.12738151170725556	-3.80963807585951e-20	-5.246390469295715e-20	0.08141310762080015
16	0.02067013092160781	0.036842343809334606	0.13620904079990445	0.6498056604154849	0.1364475984641877	-3.753477754654631e-20	-5.168465223795523e-20	0.07753770032042287
17	0.02101500873166912	0.03785188866482565	0.13821817684083917	0.6426058449179953	0.1455136852211199	-3.697417659504729e-20	-5.090961109978742e-20	0.07366229302004558
18	0.021359886541730422	0.03889214315193759	0.14022731288177398	0.6354060294205056	0.15457977197805195	-3.641381189203125e-20	-5.012991472780641e-20	0.06978688571966843
19	0.02170476435179173	0.03996070904944714	0.1422364489227086	0.6282062139230161	0.1636458587349841	-3.585197398447078e-20	-4.935639406571134e-20	0.06591147841929117
20	0.02204964216185304	0.04105537579715518	0.1442455849636432	0.6210063984255266	0.1727119454919162	-3.528841063640872e-20	-4.8574211359858495e-20	0.06203607111891389
21	0.02239451997191435	0.04217411103134262	0.14625472100457804	0.6138065829280369	0.18177803224884842	-3.472907294420683e-20	-4.779947859624391e-20	0.05816066381853667
22	0.02273939778197566	0.04331504987933992	0.14826385704551276	0.6066067674305473	0.19084411900578055	-3.41701560076704e-20	-4.7026116856168614e-20	0.05428525651815938
23	0.023084275592036966	0.04447648363059635	0.15027299308644737	0.5994069519330578	0.19991020576271273	-3.36111323596267e-20	-4.6251268069012156e-20	0.05040984921778208
24	0.023429153402098273	0.04565684824386166	0.15228212912738223	0.5922071364355679	0.20897629251964486	-3.30471494966911e-20	-4.547152650050283e-20	0.046534441917404946
25	0.023774031212159576	0.04685471302132402	0.15429126516831662	0.5850073209380787	0.21804237927657685	-3.249026912874081e-20	-4.469486856035533e-20	0.042659034617027754
26	0.024118909022220886	0.048068769678301114	0.15630040120925148	0.5778075054405888	0.2271084660335091	-3.192864508228387e-20	-4.391732046771348e-20	0.038783627316650596
27	0.0244637868322822	0.04929782195784921	0.15830953725018618	0.5706076899430993	0.23617455279044128	-3.136506361772297e-20	-4.313749702148191e-20	0.034908220016273264
28	0.024808664642343506	0.050540775879653325	0.1603186732911209	0.5634078744456097	0.2452406395473734	-3.080786111996278e-20	-4.2367531522378275e-20	0.031032812715896026
29	0.02515354245240481	0.05179663066816417	0.1623278093320555	0.5562080589481202	0.2543067263043055	-3.024756761472492e-20	-4.158605579236214e-20	0.02715740541551876
30	0.025498420262466126	0.05306447037291878	0.16433694537299018	0.5490082434506308	0.2633728130612378	-2.9687652142196186e-20	-4.082246662585543e-20	0.02328199811514133
31	0.025843298072527433	0.054343456171556226	0.16634608141392485	0.541808427953141	0.27243889981816993	-2.912385974241686e-20	-4.003478926028622e-20	0.019406590814764223
32	0.026188175882588736	0.05563281933093665	0.16835521745485976	0.5346086124556513	0.2815049865751019	-2.8563408910507154e-20	-3.9259628945548796e-20	0.015531183514387007
33	0.026533053692650046	0.05693185479215251	0.17036435349579437	0.5274087969581617	0.2905710733320342	-2.800725943970073e-20	-3.849346775056917e-20	0.011655776214009683
